country,population,GDP_PPP,life_expectancy,age,nominalGDP
Luxembourg,543360.0,58129045328.56,82.29268,204.0,62404461274.6636
Estonia,1323824.0,38107539021.71,77.73659,101.0,25921079612.3337
Moldova,2550900.0,17944577101.86,71.61,28.0,8128493432.07741
Poland,38454576.0,1020401192046.07,77.45122,101.0,524509565263.409
Guinea,11745189.0,15243609966.28,60.015,61.0,10496056732.546
Benin,10323474.0,22376552698.5,60.907,59.0,9273558271.64744
Finland,5501043.0,231835610071.87,81.78049,102.0,251884887972.766
Namibia,2303315.0,25599757010.84,64.388,29.0,13244597345.4319
Austria,8572895.0,426990592027.66,80.89024,101.0,416595666396.636
Gabon,1671711.0,34645636088.76,66.105,59.0,14622880885.6842
Azerbaijan,9416801.0,171563099951.81,72.026,28.0,40747792237.9735
South Sudan,12340000.0,22875526538.13,56.811,8.0,2904114903.22912
Somalia,10495583.0,,56.293,59.0,7368560694.66414
Switzerland,8211700.0,518065485290.38,82.89756,171.0,678887336848.252
Mauritius,1258653.0,25359637208.3,74.39488,51.0,13338147523.0124
Brazil,208494900.0,3216168972473.69,75.509,197.0,2055505502224.73
Croatia,4284889.0,94641691629.76,78.02195,28.0,54849180228.8716
Liberia,4294077.0,3762023197.75,62.505,197.0,2158000000.0
Ivory Coast,20316086.0,79766110568.11,53.582,59.0,40388624117.1109
Eswatini,1249514.0,11129441340.55,57.754,51.0,4408564260.16111
Comoros,734917.0,1169654605.48,63.701,44.0,648920942.738052
Madagascar,22924851.0,35513203138.49,65.932,59.0,11499803806.5729
Belarus,9494200.0,168350662947.47,73.82683,28.0,54442374372.5094
Mozambique,25833752.0,33354518024.55,58.311,44.0,12333859926.277
Romania,20147528.0,465564786370.0,75.0122,160.0,186690595270.0
Morocco,33008150.0,274060278118.64,75.821,63.0,109139484007.429
Cameroon,22253959.0,72723626378.7,58.073,59.0,34798596482.4274
Burkina Faso,16934839.0,30707510248.92,60.361,59.0,12873114800.0165
Greece,10815197.0,285446924292.91,81.1,198.0,200288277129.038
Sweden,10161797.0,469008300154.33,82.20488,771.0,538040458216.997
Italy,60599936.0,2260233411039.4,82.5439,73.0,1934797937411.33
Kenya,44353691.0,142239907068.18,67.032,56.0,74938190654.8558
Denmark,5707251.0,278606578848.63,80.70488,1219.0,324871968807.469
